"Dataset","Number of the triple","Time"
"joinCondition","1","3.361835479736328"
"joinCondition","2","3.3676130771636963"
"joinCondition","3","3.367640972137451"
"joinCondition","4","3.367649555206299"
"joinCondition","5","3.367732286453247"
"joinCondition","6","3.367748737335205"
"joinCondition","7","3.367753744125366"
"joinCondition","8","3.367758274078369"
"joinCondition","9","3.367788791656494"
"joinCondition","10","3.3677995204925537"
"joinCondition","11","3.367805242538452"
"joinCondition","12","3.367809534072876"
"joinCondition","13","3.36783766746521"
"joinCondition","14","3.367849111557007"
"joinCondition","15","3.367853879928589"
"joinCondition","16","3.367858648300171"
"joinCondition","17","3.3678665161132812"
"joinCondition","18","3.3678717613220215"
"joinCondition","19","3.3678765296936035"
"joinCondition","20","3.3679044246673584"
"joinCondition","21","3.367915153503418"
"joinCondition","22","3.367919921875"
"joinCondition","23","3.367924928665161"
"joinCondition","24","3.367928981781006"
"joinCondition","25","3.3679332733154297"
"joinCondition","26","3.3679399490356445"
"joinCondition","27","3.367967367172241"
"joinCondition","28","3.3679778575897217"
"joinCondition","29","3.367983102798462"
"joinCondition","30","3.367988109588623"
"joinCondition","31","3.367992401123047"
"joinCondition","32","3.3679966926574707"
"joinCondition","33","3.3680009841918945"
"joinCondition","34","3.368027925491333"
"joinCondition","35","3.3680381774902344"
"joinCondition","36","3.3680455684661865"
"joinCondition","37","3.3680500984191895"
"joinCondition","38","3.3680543899536133"
"joinCondition","39","3.368058681488037"
"joinCondition","40","3.368062734603882"
"joinCondition","41","3.368088960647583"
"joinCondition","42","3.3680989742279053"
"joinCondition","43","3.3681039810180664"
"joinCondition","44","3.3681085109710693"
"joinCondition","45","3.368112802505493"
"joinCondition","46","3.368117094039917"
"joinCondition","47","3.3681676387786865"
"joinCondition","48","3.3683605194091797"
"joinCondition","49","3.368375062942505"
"joinCondition","50","3.368380069732666"
"joinCondition","51","3.36838436126709"
"joinCondition","52","3.3683886528015137"
"joinCondition","53","3.3683931827545166"
"joinCondition","54","3.3977138996124268"
"joinCondition","55","3.397991895675659"
"joinCondition","56","3.398050308227539"
"joinCondition","57","3.3981502056121826"
"joinCondition","58","3.3981781005859375"
"joinCondition","59","3.398210287094116"
"joinCondition","60","3.3982367515563965"
"joinCondition","61","3.3982462882995605"
"joinCondition","62","3.3982558250427246"
"joinCondition","63","3.3982648849487305"
"joinCondition","64","3.3982813358306885"
"joinCondition","65","3.3982911109924316"
"joinCondition","66","3.3982999324798584"
"joinCondition","67","3.3984947204589844"
"joinCondition","68","3.398566484451294"
"joinCondition","69","3.3985862731933594"
"joinCondition","70","3.39860463142395"
"joinCondition","71","3.398623466491699"
"joinCondition","72","3.398632764816284"
"joinCondition","73","3.39864444732666"
"joinCondition","74","3.3986616134643555"
"joinCondition","75","3.398693323135376"
"joinCondition","76","3.398723840713501"
"joinCondition","77","3.398732900619507"
"joinCondition","78","3.3987412452697754"
"joinCondition","79","3.398930549621582"
"joinCondition","80","3.3989663124084473"
"joinCondition","81","3.3989901542663574"
"joinCondition","82","3.3990018367767334"
"joinCondition","83","3.39901065826416"
"joinCondition","84","3.3990283012390137"
"joinCondition","85","3.3990392684936523"
"joinCondition","86","3.399050235748291"
"joinCondition","87","3.3990612030029297"
"joinCondition","88","3.3990705013275146"
"joinCondition","89","3.399095058441162"
"joinCondition","90","3.3991153240203857"
"joinCondition","91","3.3992249965667725"
"joinCondition","92","3.399251937866211"
"joinCondition","93","3.3992738723754883"
"joinCondition","94","3.3992855548858643"
"joinCondition","95","3.3992955684661865"
"joinCondition","96","3.3993048667907715"
"joinCondition","97","3.399329662322998"
"joinCondition","98","3.399341583251953"
"joinCondition","99","3.3993515968322754"
"joinCondition","100","3.3993616104125977"
"joinCondition","101","3.399373769760132"
"joinCondition","102","3.399394989013672"
"joinCondition","103","3.3995020389556885"
"joinCondition","104","3.399552345275879"
"joinCondition","105","3.3995633125305176"
"joinCondition","106","3.399575710296631"
"joinCondition","107","3.3996081352233887"
"joinCondition","108","3.3996171951293945"
"joinCondition","109","3.3996264934539795"
"joinCondition","110","3.3996541500091553"
"joinCondition","111","3.443390130996704"
"joinCondition","112","3.443439483642578"
"joinCondition","113","3.4434473514556885"
"joinCondition","114","3.443452835083008"
"joinCondition","115","3.443554162979126"
"joinCondition","116","3.443577289581299"
"joinCondition","117","3.4435830116271973"
"joinCondition","118","3.4435887336730957"
"joinCondition","119","3.4435932636260986"
"joinCondition","120","3.4435982704162598"
"joinCondition","121","3.4436028003692627"
"joinCondition","122","3.4436073303222656"
"joinCondition","123","3.4436118602752686"
"joinCondition","124","3.4436161518096924"
"joinCondition","125","3.443620443344116"
"joinCondition","126","3.44362473487854"
"joinCondition","127","3.443659782409668"
"joinCondition","128","3.443671941757202"
"joinCondition","129","3.4436771869659424"
"joinCondition","130","3.4436817169189453"
"joinCondition","131","3.4436864852905273"
"joinCondition","132","3.4436910152435303"
"joinCondition","133","3.443695306777954"
"joinCondition","134","3.443699598312378"
"joinCondition","135","3.4437036514282227"
"joinCondition","136","3.4437081813812256"
"joinCondition","137","3.4437124729156494"
"joinCondition","138","3.4437167644500732"
"joinCondition","139","3.443755626678467"
"joinCondition","140","3.443775177001953"
"joinCondition","141","3.4437849521636963"
"joinCondition","142","3.443793535232544"
"joinCondition","143","3.443800687789917"
"joinCondition","144","3.4438116550445557"
"joinCondition","145","3.4438204765319824"
"joinCondition","146","3.4438295364379883"
"joinCondition","147","3.4438374042510986"
"joinCondition","148","3.443845510482788"
"joinCondition","149","3.4438564777374268"
"joinCondition","150","3.4439306259155273"
"joinCondition","151","3.444160223007202"
"joinCondition","152","3.444258689880371"
"joinCondition","153","3.444293260574341"
"joinCondition","154","3.4443113803863525"
"joinCondition","155","3.4443347454071045"
"joinCondition","156","3.4443535804748535"
"joinCondition","157","3.4443628787994385"
"joinCondition","158","3.4443724155426025"
"joinCondition","159","3.444380283355713"
"joinCondition","160","3.4443881511688232"
"joinCondition","161","3.444395065307617"
"joinCondition","162","3.4444026947021484"
"joinCondition","163","3.4445040225982666"
"joinCondition","164","3.4445276260375977"
"joinCondition","165","3.44453763961792"
"joinCondition","166","3.4445464611053467"
"joinCondition","167","3.4445598125457764"
"joinCondition","168","3.468579053878784"
"joinCondition","169","3.468832492828369"
"joinCondition","170","3.4690535068511963"
"joinCondition","171","3.469222068786621"
"joinCondition","172","3.4692370891571045"
"joinCondition","173","3.469245672225952"
"joinCondition","174","3.4692530632019043"
"joinCondition","175","3.469346046447754"
"joinCondition","176","3.469364881515503"
"joinCondition","177","3.469370126724243"
"joinCondition","178","3.469374656677246"
"joinCondition","179","3.46937894821167"
"joinCondition","180","3.469383478164673"
"joinCondition","181","3.4693875312805176"
"joinCondition","182","3.4693922996520996"
"joinCondition","183","3.4693965911865234"
"joinCondition","184","3.4694011211395264"
"joinCondition","185","3.4694061279296875"
"joinCondition","186","3.4694106578826904"
"joinCondition","187","3.469442129135132"
"joinCondition","188","3.4694533348083496"
"joinCondition","189","3.4694817066192627"
"joinCondition","190","3.4694926738739014"
"joinCondition","191","3.5434467792510986"
"joinCondition","192","3.543485403060913"
"joinCondition","193","3.5436480045318604"
"joinCondition","194","3.543682813644409"
"joinCondition","195","3.5436923503875732"
"joinCondition","196","3.543703317642212"
"joinCondition","197","3.5437612533569336"
"joinCondition","198","3.543782949447632"
"joinCondition","199","3.543792247772217"
"joinCondition","200","3.543800115585327"
"joinCondition","201","3.543855667114258"
"joinCondition","202","3.5438759326934814"
"joinCondition","203","3.5438854694366455"
"joinCondition","204","3.5439414978027344"
"joinCondition","205","3.5439634323120117"
"joinCondition","206","3.543973922729492"
"joinCondition","207","3.5440285205841064"
"joinCondition","208","3.5440516471862793"
"joinCondition","209","3.5441060066223145"
"joinCondition","210","3.544127941131592"
"joinCondition","211","3.544137477874756"
"joinCondition","212","3.544189691543579"
"joinCondition","213","3.544210433959961"
"joinCondition","214","3.544219732284546"
"joinCondition","215","3.5515406131744385"
"joinCondition","216","3.551591396331787"
"joinCondition","217","3.551623582839966"
"joinCondition","218","3.5516531467437744"
"joinCondition","219","3.5516810417175293"
"joinCondition","220","3.551708221435547"
"joinCondition","221","3.5517356395721436"
"joinCondition","222","3.551762342453003"
"joinCondition","223","3.551788568496704"
"joinCondition","224","3.5518150329589844"
"joinCondition","225","3.5518407821655273"
"joinCondition","226","3.5518667697906494"
"joinCondition","227","3.5519068241119385"
"joinCondition","228","3.5519349575042725"
"joinCondition","229","3.5519611835479736"
"joinCondition","230","3.563889265060425"
"joinCondition","231","3.56404709815979"
"joinCondition","232","3.5640809535980225"
"joinCondition","233","3.5641090869903564"
"joinCondition","234","3.5641355514526367"
"joinCondition","235","3.564162492752075"
"joinCondition","236","3.564188241958618"
"joinCondition","237","3.564213991165161"
"joinCondition","238","3.5642402172088623"
"joinCondition","239","3.5642659664154053"
"joinCondition","240","3.56429123878479"
"joinCondition","241","3.564316749572754"
"joinCondition","242","3.5643420219421387"
"joinCondition","243","3.5643675327301025"
